focal	batch	total_matings	focal_matings	total_sperm	focal_sperm	focal_offspring	total_offspring
1	1	135	15	253	7	3	101
2	1	153	29	250	25	3	61
3	1	182	61	233	67	12	76
4	1	192	71	266	41	3	109
5	1	198	63	235	99	18	82
6	1	162	26	258	6	0	91
7	1	220	61	260	38	1	114
8	1	139	29	239	0	0	71
9	1	216	61	270	52	8	95
10	1	197	92	288	88	12	100
11	1	130	31	270	77	7	86
12	1	226	77	213	43	3	63
13	1	241	76	270	77	19	141
14	1	149	36	220	22	0	72
16	1	250	85	239	40	4	96
18	1	158	63	288	71	15	96
19	1	147	37	250	7	0	54
20	1	204	30	230	27	9	77
21	2	235	103	207	56	10	57
22	2	171	76	183	49	15	56
23	2	149	52	236	70	6	75
24	2	164	52	224	31	7	44
25	2	187	88	245	89	10	44
26	2	154	59	235	22	1	55
27	2	153	26	250	68	5	41
28	2	231	116	254	39	17	93
30	2	172	60	216	98	17	54
31	2	189	83	217	74	0	73
32	2	145	51	227	53	2	49
33	2	136	26	274	14	0	60
34	2	182	41	235	43	6	61
35	2	179	65	275	41	2	79
36	2	174	76	249	70	16	64
37	2	217	82	266	100	8	80
38	2	210	79	216	48	2	58
40	2	194	76	250	20	0	70
41	3	156	41	258	43	5	60
42	3	192	92	231	67	8	63
43	3	153	37	271	56	6	74
44	3	191	44	291	79	15	97
45	3	208	68	274	84	9	73
46	3	149	83	285	126	26	75
47	3	128	43	229	48	9	74
48	3	166	59	273	79	2	45
50	3	197	89	221	80	17	54
51	3	149	83	250	93	14	54
52	3	163	26	198	49	9	96
53	3	150	26	254	67	1	46
54	3	196	97	251	119	11	96
55	3	147	56	274	35	5	61
56	3	139	72	228	82	9	73
57	3	133	14	247	0	0	76
58	3	130	39	256	86	11	101
59	3	153	49	253	46	4	54
60	3	160	65	219	65	31	93
61	4	160	54	289	29	2	74
62	4	135	9	304	2	0	62
63	4	190	119	214	67	10	41
64	4	190	64	217	88	22	57
65	4	199	58	254	32	4	63
66	4	182	68	265	83	8	63
67	4	240	97	237	103	11	51
69	4	233	101	238	28	1	60
70	4	200	85	260	107	8	44
71	4	177	81	245	39	1	41
72	4	177	52	241	8	1	76
73	4	201	81	246	79	4	38
74	4	196	94	261	64	5	41
75	4	191	79	221	7	0	49
76	4	228	49	231	42	15	43
77	4	209	78	213	74	7	74
79	4	220	100	246	86	13	52
80	4	198	94	237	77	12	36
81	5	179	41	291	2	1	64
82	5	109	56	242	109	10	56
83	5	130	49	254	56	9	60
84	5	117	42	262	114	28	82
85	5	211	98	241	79	12	44
86	5	73	40	243	91	9	64
87	5	113	45	212	40	6	60
88	5	220	106	246	71	9	59
89	5	160	54	258	89	13	99
90	5	109	43	268	36	6	75
91	5	139	45	268	62	7	75
92	5	120	41	246	80	14	69
93	5	192	79	189	59	8	97
94	5	155	58	227	8	3	82
95	5	217	110	263	77	14	97
96	5	132	62	226	55	6	77
97	5	213	75	261	13	3	52
98	5	186	73	266	107	11	53
99	5	196	89	269	81	26	88
100	5	134	23	267	100	12	65
101	6	160	41	196	58	16	62
102	6	124	30	270	24	3	69
103	6	141	39	283	73	2	70
104	6	149	28	319	33	3	52
105	6	145	70	224	61	12	83
106	6	167	46	240	51	1	42
107	6	193	48	258	34	1	63
108	6	117	29	280	71	15	76
109	6	175	57	248	17	1	116
110	6	138	49	239	72	3	78
111	6	208	88	236	80	16	78
112	6	177	48	240	41	5	88
113	6	140	63	244	101	18	77
114	6	131	54	258	58	12	89
115	6	166	59	230	75	10	78
116	6	217	98	251	44	4	66
117	6	193	101	275	60	23	63
118	6	164	69	302	97	8	71
119	6	178	65	261	59	8	83
120	6	165	30	275	0	2	75
121	7	223	99	322	115	19	79
122	7	189	70	250	41	7	56
123	7	201	88	238	72	38	101
125	7	213	80	296	145	13	75
126	7	206	62	269	12	6	64
127	7	245	55	292	93	11	69
128	7	195	56	229	97	9	79
129	7	215	121	241	100	16	88
130	7	193	67	256	133	13	80
131	7	250	111	307	106	9	73
132	7	185	79	286	116	6	53
133	7	197	47	273	32	19	114
134	7	204	95	287	121	29	57
135	7	219	82	270	70	7	60
136	7	240	74	276	98	8	53
137	7	202	27	226	17	0	64
138	7	196	91	254	112	12	70
139	7	222	83	283	102	5	50
140	7	183	69	236	44	5	54
141	8	149	71	279	100	9	72
142	8	201	84	243	87	16	86
143	8	121	58	271	75	8	71
144	8	130	39	259	43	4	58
145	8	142	54	248	79	25	42
147	8	174	69	303	31	5	57
148	8	118	39	297	83	5	40
149	8	135	47	231	23	2	99
150	8	132	32	267	30	1	60
151	8	106	14	228	38	4	61
152	8	117	37	263	69	6	49
153	8	165	53	263	104	3	44
155	8	199	85	261	142	15	65
156	8	196	80	257	111	16	75
157	8	144	30	294	45	1	72
158	8	184	58	259	41	11	89
159	8	151	63	266	121	3	66
160	8	181	66	257	53	3	82
