focal	batch	mating_group	total_matings	focal_matings	total_sperm	focal_sperm	total_offspring	focal_offspring
1	1	1	42	6	84	0	20	2
1	1	2	62	7	89	7	44	1
1	1	3	31	2	80	0	37	0
2	1	1	47	14	85	15	18	1
2	1	2	64	14	84	7	22	2
2	1	3	42	1	81	3	21	0
3	1	1	76	10	67	33	22	1
3	1	2	61	28	82	25	40	9
3	1	3	45	23	84	9	14	2
4	1	1	67	29	83	14	38	1
4	1	2	48	14	84	10	27	1
4	1	3	77	28	99	17	44	1
5	1	1	68	6	42	8	21	0
5	1	2	83	31	112	40	46	12
5	1	3	47	26	81	51	15	6
6	1	1	41	13	75	6	18	0
6	1	2	76	10	110	0	38	0
6	1	3	45	3	73	0	35	0
7	1	1	68	20	88	15	43	0
7	1	2	88	30	78	7	20	1
7	1	3	64	11	94	16	51	0
8	1	1	49	12	75	0	33	0
8	1	2	49	10	91	0	24	0
8	1	3	41	7	73	0	14	0
9	1	1	73	26	74	9	24	1
9	1	2	82	15	110	15	22	1
9	1	3	61	20	86	28	49	6
10	1	1	57	29	84	33	18	2
10	1	2	84	38	127	31	55	3
10	1	3	56	25	77	24	27	7
11	1	1	55	9	92	17	39	3
11	1	2	35	14	87	32	26	3
11	1	3	40	8	91	28	21	1
12	1	1	92	31	76	10	22	0
12	1	2	59	24	67	15	18	3
12	1	3	75	22	70	18	23	0
13	1	1	88	30	90	18	40	3
13	1	2	98	22	120	38	49	9
13	1	3	55	24	60	21	52	7
14	1	1	55	11	75	1	21	0
14	1	2	43	9	42	7	24	0
14	1	3	51	16	103	14	27	0
16	1	1	80	34	84	20	34	4
16	1	2	93	34	80	9	47	0
16	1	3	77	17	75	11	15	0
18	1	1	52	22	78	9	34	7
18	1	2	60	25	115	36	42	7
18	1	3	46	16	95	26	20	1
19	1	1	45	1	84	0	16	0
19	1	2	48	16	81	4	27	0
19	1	3	54	20	85	3	11	0
20	1	1	81	2	50	7	21	1
20	1	2	61	19	91	12	25	5
20	1	3	62	9	89	8	31	3
21	2	1	96	58	51	16	15	6
21	2	2	48	5	65	9	18	0
21	2	3	91	40	91	31	24	4
22	2	1	86	32	74	18	25	6
22	2	2	55	28	44	13	10	3
22	2	3	30	16	65	18	21	6
23	2	1	58	21	83	31	29	4
23	2	2	45	10	70	13	28	1
23	2	3	46	21	83	26	18	1
24	2	1	58	21	65	17	17	6
24	2	2	56	17	79	1	18	1
24	2	3	50	14	80	13	9	0
25	2	1	85	36	91	34	10	3
25	2	2	47	19	76	32	24	6
25	2	3	55	33	78	23	10	1
26	2	1	63	21	85	5	19	0
26	2	2	42	16	75	3	17	0
26	2	3	49	22	75	14	19	1
27	2	1	56	9	81	18	25	3
27	2	2	56	13	83	30	11	0
27	2	3	41	4	86	20	5	2
28	2	1	90	47	96	8	20	0
28	2	2	70	36	83	15	24	1
28	2	3	71	33	75	16	49	16
30	2	1	78	33	80	34	28	6
30	2	2	54	12	60	17	12	5
30	2	3	40	15	76	47	14	6
31	2	1	57	26	100	36	31	0
31	2	2	50	26	44	8	11	0
31	2	3	82	31	73	30	31	0
32	2	1	45	8	71	22	11	1
32	2	2	56	19	63	15	20	1
32	2	3	44	24	93	16	18	0
33	2	1	67	15	95	11	20	0
33	2	2	33	4	95	0	16	0
33	2	3	36	7	84	3	24	0
34	2	1	58	6	83	20	11	1
34	2	2	71	21	86	13	31	4
34	2	3	53	14	66	10	19	1
35	2	1	71	20	115	22	32	1
35	2	2	38	21	82	8	15	1
35	2	3	70	24	78	11	32	0
36	2	1	74	26	87	32	22	6
36	2	2	39	21	86	9	9	0
36	2	3	61	29	76	29	33	10
37	2	1	63	32	100	35	18	1
37	2	2	73	19	88	36	17	4
37	2	3	81	31	78	29	45	3
38	2	1	84	41	72	12	2	1
38	2	2	51	18	78	20	37	0
38	2	3	75	20	66	16	19	1
40	2	1	74	20	87	3	16	0
40	2	2	54	25	80	1	35	0
40	2	3	66	31	83	16	19	0
41	3	1	33	12	70	9	7	0
41	3	2	58	12	84	13	24	2
41	3	3	65	17	104	21	29	3
42	3	1	48	21	85	18	16	2
42	3	2	61	29	81	9	25	2
42	3	3	83	42	65	40	22	4
43	3	1	72	21	81	39	30	3
43	3	2	38	9	90	10	26	1
43	3	3	43	7	100	7	18	2
44	3	1	93	21	108	36	28	5
44	3	2	52	15	103	28	45	4
44	3	3	46	8	80	15	24	6
45	3	1	88	38	67	27	24	2
45	3	2	39	10	111	11	26	3
45	3	3	81	20	96	46	23	4
46	3	1	66	34	99	43	21	5
46	3	2	55	33	101	49	34	12
46	3	3	28	16	85	34	20	9
47	3	1	45	10	76	13	21	2
47	3	2	29	14	73	14	30	3
47	3	3	54	19	80	21	23	4
48	3	1	66	26	100	37	11	0
48	3	2	51	14	79	20	29	1
48	3	3	49	19	94	22	5	1
50	3	1	55	24	69	24	26	9
50	3	2	51	29	71	32	23	8
50	3	3	91	36	81	24	5	0
51	3	1	47	22	84	18	14	2
51	3	2	60	36	74	43	19	6
51	3	3	42	25	92	32	21	6
52	3	1	73	8	83	22	44	5
52	3	2	43	10	51	19	15	0
52	3	3	47	8	64	8	37	4
53	3	1	58	13	87	28	26	0
53	3	2	51	3	86	1	11	0
53	3	3	41	10	81	38	9	1
54	3	1	74	37	66	33	23	1
54	3	2	87	44	78	63	29	9
54	3	3	35	16	107	23	44	1
55	3	1	59	27	84	6	19	1
55	3	2	38	15	78	20	14	4
55	3	3	50	14	112	9	28	0
56	3	1	52	26	104	29	35	5
56	3	2	37	23	52	32	11	1
56	3	3	50	23	72	21	27	3
57	3	1	52	4	75	0	27	0
57	3	2	48	7	98	0	27	0
57	3	3	33	3	74	0	22	0
58	3	1	52	12	87	34	40	1
58	3	2	28	11	93	21	36	5
58	3	3	50	16	76	31	25	5
59	3	1	49	22	93	16	15	0
59	3	2	53	20	83	24	19	3
59	3	3	51	7	77	6	20	1
60	3	1	61	22	63	20	41	8
60	3	2	59	23	89	22	17	2
60	3	3	40	20	67	23	35	21
61	4	1	54	8	111	6	27	0
61	4	2	59	29	100	11	22	2
61	4	3	47	17	78	12	25	0
62	4	1	52	6	112	0	18	0
62	4	2	47	2	108	1	36	0
62	4	3	36	1	84	1	8	0
63	4	1	50	36	69	22	6	0
63	4	2	83	49	78	24	19	4
63	4	3	57	34	67	21	16	6
64	4	1	56	23	70	33	19	3
64	4	2	56	4	80	15	5	2
64	4	3	78	37	67	40	33	17
65	4	1	86	27	91	15	11	1
65	4	2	57	19	85	9	26	2
65	4	3	56	12	78	8	26	1
66	4	1	48	19	87	16	16	0
66	4	2	55	14	92	28	13	4
66	4	3	79	35	86	39	34	4
67	4	1	52	25	75	44	25	4
67	4	2	104	36	85	29	12	2
67	4	3	84	36	77	30	14	5
69	4	1	85	38	94	12	16	0
69	4	2	92	33	61	9	11	0
69	4	3	56	30	83	7	33	1
70	4	1	46	10	94	17	13	2
70	4	2	84	34	73	32	7	0
70	4	3	70	41	93	58	24	6
71	4	1	59	30	75	0	12	0
71	4	2	67	33	94	25	7	0
71	4	3	51	18	76	14	22	1
72	4	1	59	14	80	1	29	0
72	4	2	61	33	84	7	18	1
72	4	3	57	5	77	0	29	0
73	4	1	86	30	81	27	23	2
73	4	2	63	27	79	36	10	2
73	4	3	52	24	86	16	5	0
74	4	1	64	29	93	23	2	0
74	4	2	59	33	85	23	17	3
74	4	3	73	32	83	18	22	2
75	4	1	74	34	72	4	22	0
75	4	2	72	19	75	2	22	0
75	4	3	45	26	74	1	5	0
76	4	1	61	19	65	23	8	6
76	4	2	54	17	76	13	13	6
76	4	3	113	13	90	6	22	3
77	4	1	83	36	67	10	20	1
77	4	2	90	30	87	41	14	3
77	4	3	36	12	59	23	40	3
79	4	1	99	49	81	34	28	9
79	4	2	72	24	97	25	11	3
79	4	3	49	27	68	27	13	1
80	4	1	65	36	77	20	14	6
80	4	2	78	33	80	39	2	1
80	4	3	55	25	80	18	20	5
81	5	1	102	32	108	2	34	0
81	5	2	43	9	70	0	10	1
81	5	3	34	0	113	0	20	0
82	5	1			81	33	17	3
82	5	2	57	34	87	34	18	3
82	5	3	52	22	74	42	21	4
83	5	1	74	22	96	22	30	6
83	5	2	35	19	67	23	2	0
83	5	3	21	8	91	11	28	3
84	5	1			74	18	31	4
84	5	2	76	33	107	61	31	20
84	5	3	41	9	81	35	20	4
85	5	1	90	47	62	19	11	3
85	5	2	68	25	90	30	15	1
85	5	3	53	26	89	30	18	8
86	5	1			82	36	23	5
86	5	2	35	19	83	29	28	2
86	5	3	38	21	78	26	13	2
87	5	1	25	9	66	13	17	1
87	5	2	51	17	69	27	24	5
87	5	3	37	19	77	0	19	0
88	5	1	88	32	115	23	2	1
88	5	2	59	36	73	26	26	3
88	5	3	73	38	58	22	31	5
89	5	1	54	18	75	31	34	5
89	5	2	35	18	87	22	46	4
89	5	3	71	18	96	36	19	4
90	5	1			94	9	32	1
90	5	2	47	17	104	5	27	0
90	5	3	62	26	70	22	16	5
91	5	1	44	18	77	29	33	2
91	5	2	55	9	110	10	20	1
91	5	3	40	18	81	23	22	4
92	5	1			65	25	28	4
92	5	2	51	18	95	31	16	3
92	5	3	69	23	86	24	25	7
93	5	1	64	16	68	15	42	0
93	5	2	72	32	47	25	30	5
93	5	3	56	31	74	19	25	3
94	5	1	53	12	76	0	36	1
94	5	2	34	20	75	5	28	1
94	5	3	68	26	76	3	18	1
95	5	1	70	36	85	22	38	6
95	5	2	65	42	85	29	24	7
95	5	3	82	32	93	26	35	1
96	5	1	62	24	74	24	23	1
96	5	2	45	20	82	15	19	1
96	5	3	25	18	70	16	35	4
97	5	1	74	22	81	3	2	0
97	5	2	71	29	84	8	29	3
97	5	3	68	24	96	2	21	0
98	5	1	88	34	100	45	28	5
98	5	2	45	22	78	45	14	4
98	5	3	53	17	88	17	11	2
99	5	1	67	40	107	43	43	16
99	5	2	65	31	85	20	14	1
99	5	3	64	18	77	18	31	9
100	5	1	47	10	91	35	22	2
100	5	2	47	7	84	33	19	6
100	5	3	40	6	92	32	24	4
101	6	1	44	17	63	20	34	14
101	6	2	75	17	79	27	15	0
101	6	3	41	7	54	11	13	2
102	6	1	35	7	53	3	24	1
102	6	2	54	13	81	13	14	1
102	6	3	35	10	136	8	31	1
103	6	1	47	15	97	40	33	1
103	6	2	44	3	102	10	24	0
103	6	3	50	21	84	23	13	1
104	6	1	30	8	84	10	11	1
104	6	2	77	17	166	15	31	2
104	6	3	42	3	69	8	10	0
105	6	1	64	35	61	23	26	4
105	6	2	38	9	71	17	28	3
105	6	3	43	26	92	21	29	5
106	6	1	74	23	84	10	8	0
106	6	2	54	15	66	22	9	1
106	6	3	39	8	90	19	25	0
107	6	1	78	20	87	10	18	0
107	6	2	47	8	69	12	28	1
107	6	3	68	20	102	12	17	0
108	6	1	40	10	80	14	40	7
108	6	2	50	14	116	43	18	4
108	6	3	27	5	84	14	18	4
109	6	1	75	22	95	3	36	0
109	6	2	60	21	69	8	45	0
109	6	3	40	14	84	6	35	1
110	6	1	41	21	61	33	25	3
110	6	2	54	13	98	28	29	0
110	6	3	43	15	80	11	24	0
111	6	1	66	31	60	24	20	6
111	6	2	87	37	101	29	32	7
111	6	3	55	20	75	27	26	3
112	6	1	61	14	82	10	24	0
112	6	2	68	27	69	19	18	3
112	6	3	48	7	89	12	46	2
113	6	1	57	24	89	37	35	7
113	6	2	45	21	89	41	26	9
113	6	3	38	18	66	23	16	2
114	6	1	46	19	94	27	38	11
114	6	2	52	14	94	12	24	0
114	6	3	33	21	70	19	27	1
115	6	1	52	27	59	13	22	6
115	6	2	67	16	102	33	43	4
115	6	3	47	16	69	29	13	0
116	6	1	63	26	90	11	18	0
116	6	2	83	35	80	13	31	3
116	6	3	71	37	81	20	17	1
117	6	1	65	25	115	25	32	9
117	6	2	41	33	80	15	15	6
117	6	3	87	43	80	20	16	8
118	6	1	45	16	111	46	37	2
118	6	2	75	31	87	20	12	5
118	6	3	44	22	104	31	22	1
119	6	1	40	13	86	19	24	3
119	6	2	90	33	78	20	25	1
119	6	3	48	19	97	20	34	4
120	6	1	55	2	84	0	13	0
120	6	2	64	12	87	0	26	0
120	6	3	46	16	104	0	36	2
121	7	1	65	28	101	47	24	10
121	7	2	79	40	106	36	36	6
121	7	3	79	31	115	32	19	3
122	7	1	67	25	98	22	21	0
122	7	2	63	16	76	10	19	3
122	7	3	59	29	76	9	16	4
123	7	1	67	25	81	30	30	12
123	7	2	81	44	73	18	41	13
123	7	3	53	19	84	24	30	13
125	7	1	86	18	113	40	19	1
125	7	2	48	31	98	61	31	8
125	7	3	79	31	85	44	25	4
126	7	1	84	22	126	8	33	3
126	7	2	65	22	65	4	14	1
126	7	3	57	18	78	0	17	2
127	7	1	88	20	107	36	27	4
127	7	2	52	17	96	34	22	7
127	7	3	105	18	89	23	20	0
128	7	1	76	24	89	43	34	1
128	7	2	56	11	82	32	29	4
128	7	3	63	21	58	22	16	4
129	7	1	77	41	69	35	34	6
129	7	2	78	42	101	34	31	3
129	7	3	60	38	71	31	23	7
130	7	1	56	19	83	55	24	1
130	7	2	72	29	78	43	36	8
130	7	3	65	19	95	35	20	4
131	7	1	90	30	105	45	44	5
131	7	2	81	48	93	29	8	1
131	7	3	79	33	109	32	21	3
132	7	1	51	21	97	51	16	1
132	7	2	78	23	99	30	23	2
132	7	3	56	35	90	35	14	3
133	7	1	69	17	91	15	49	11
133	7	2	63	21	88	12	37	6
133	7	3	65	9	94	5	28	2
134	7	1	53	21	83	19	17	9
134	7	2	89	49	101	63	17	6
134	7	3	62	25	103	39	23	14
135	7	1	82	25	78	32	21	2
135	7	2	57	21	92	19	16	4
135	7	3	80	36	100	19	23	1
136	7	1	86	35	101	26	9	1
136	7	2	93	24	94	36	13	3
136	7	3	61	15	81	36	31	4
137	7	1	60	7	63	1	26	0
137	7	2	89	10	73	4	24	0
137	7	3	53	10	90	12	14	0
138	7	1	84	44	88	54	14	5
138	7	2	55	20	96	32	30	2
138	7	3	57	27	70	26	26	5
139	7	1	77	18	107	46	33	4
139	7	2	72	33	82	31	4	1
139	7	3	73	32	94	25	13	0
140	7	1	72	24	95	28	20	4
140	7	2	51	17	86	3	19	0
140	7	3	60	28	55	13	15	1
141	8	1	60	30	90	45	28	7
141	8	2	44	18	113	27	29	0
141	8	3	45	23	76	28	15	2
142	8	1	86	32	92	34	15	1
142	8	2	58	29	71	26	30	5
142	8	3	57	23	80	27	41	10
143	8	1	57	24	95	21	15	2
143	8	2	30	19	93	21	30	5
143	8	3	34	15	83	33	26	1
144	8	1	52	18	88	17	20	0
144	8	2	37	13	87	10	21	1
144	8	3	41	8	84	16	17	3
145	8	1	54	17	84	30	17	12
145	8	2	51	19	81	25	15	10
145	8	3	37	18	83	24	10	3
147	8	1	75	27	96	21	31	4
147	8	2	48	12	129	0	17	0
147	8	3	51	30	78	10	9	1
148	8	1	50	19	116	47	11	1
148	8	2	37	12	84	18	6	2
148	8	3	31	8	97	18	23	2
149	8	1	41	16	67	10	29	0
149	8	2	51	19	87	7	39	2
149	8	3	43	12	77	6	31	0
150	8	1	61	14	81	9	30	0
150	8	2	29	6	86	11	13	1
150	8	3	42	12	100	10	17	0
151	8	1	45	0	79	0	9	0
151	8	2	26	4	68	11	21	0
151	8	3	35	10	81	27	31	4
152	8	1	47	12	84	31	17	3
152	8	2	34	11	79	8	18	2
152	8	3	36	14	100	30	14	1
153	8	1	66	17	106	59	24	3
153	8	2	38	16	84	15	14	0
153	8	3	61	20	73	30	6	0
155	8	1	65	30	86	58	21	7
155	8	2	57	31	78	43	24	6
155	8	3	77	24	97	41	20	2
156	8	1	74	34	79	12	2	0
156	8	2	43	20	95	50	37	7
156	8	3	79	26	83	49	36	9
157	8	1	47	13	92	26	20	1
157	8	2	65	12	95	17	18	0
157	8	3	32	5	107	2	34	0
158	8	1	95	29	91	25	26	3
158	8	2	37	6	86	10	25	0
158	8	3	52	23	82	6	38	8
159	8	1	77	31	88	42	3	1
159	8	2	43	14	104	29	45	0
159	8	3	31	18	74	50	18	2
160	8	1	65	25	91	20	20	0
160	8	2	64	22	74	27	48	2
160	8	3	52	19	92	6	14	1
